,0,1
589,squareroot_glcm_MaximumProbability,0
590,squareroot_glcm_SumEntropy,0
591,squareroot_glcm_SumSquares,0
592,squareroot_glrlm_GrayLevelNonUniformity,0
593,squareroot_glrlm_GrayLevelNonUniformityNormalized,0
594,squareroot_glrlm_GrayLevelVariance,0
595,squareroot_glrlm_HighGrayLevelRunEmphasis,0
596,squareroot_glrlm_LongRunEmphasis,0
597,squareroot_glrlm_LongRunHighGrayLevelEmphasis,0
598,squareroot_glrlm_LongRunLowGrayLevelEmphasis,0
599,squareroot_glrlm_LowGrayLevelRunEmphasis,0
600,squareroot_glrlm_RunEntropy,0
601,squareroot_glrlm_RunLengthNonUniformity,0
602,squareroot_glrlm_RunLengthNonUniformityNormalized,0
603,squareroot_glrlm_RunPercentage,0
604,squareroot_glrlm_RunVariance,0
605,squareroot_glrlm_ShortRunEmphasis,0
606,squareroot_glrlm_ShortRunHighGrayLevelEmphasis,0
607,squareroot_glrlm_ShortRunLowGrayLevelEmphasis,0
608,squareroot_glszm_GrayLevelNonUniformity,0
609,squareroot_glszm_GrayLevelNonUniformityNormalized,0
610,squareroot_glszm_GrayLevelVariance,0
611,squareroot_glszm_HighGrayLevelZoneEmphasis,0
